id	latitude	longitude	tree_type	height(m)
1	39.809521	32.961545	pine	21.56
2	40.011101	32.612864	apple	21.53
3	40.06938	32.739479	apple	20.09
4	39.842664	32.691088	plane	6.61
5	39.827815	32.850391	plane	22.41
6	39.725184	32.738043	apple	14.06
7	40.092508	32.900608	plane	12.13
8	39.734377	32.754161	apple	15.36
9	39.730248	32.861012	plane	12.02
10	39.868105	32.731205	apple	12.23
11	39.98529	32.777719	apple	22.22
12	39.864448	32.80184	pine	29.27
13	39.951265	32.961629	plane	11.35
14	39.97721	32.730839	pine	16.35
15	39.757667	32.723014	plane	22.42
16	39.969004	32.895013	pine	11.12
17	39.729357	32.640327	plane	25.16
18	39.855252	32.909001	pine	19.6
19	39.702915	32.715147	apple	24.45
20	39.856661	32.846723	plane	20.93
21	39.940825	32.798443	pine	16.65
22	39.838995	32.648202	plane	27.73
23	39.805817	32.894619	plane	27.75
24	39.805802	32.669313	plane	21.42
25	39.709116	32.67313	pine	13.35
26	39.842771	32.677289	pine	24.68
27	40.088205	32.833698	pine	25.08
28	39.79601	32.672315	plane	6.53
29	40.065548	32.875873	pine	16.07
30	39.808906	32.814453	pine	14.77
31	39.962534	32.820238	plane	14.96
32	39.827211	32.682656	apple	18.84
33	39.844687	32.798536	pine	11.3
34	40.049316	32.822809	plane	14.03
35	39.819758	32.658257	apple	28.83
36	40.065948	32.920433	pine	15.54
37	40.065968	32.941982	apple	18.96
38	39.944316	32.636197	pine	18.98
39	39.948695	32.713902	plane	20.38
40	40.023635	32.744271	apple	15.16
41	39.779968	32.752251	apple	16.18
42	39.804147	32.651028	apple	22.93
43	40.028343	32.850079	pine	10.98
44	40.013738	32.695594	apple	2.95
45	39.844572	32.699189	pine	4.48
46	40.060407	32.646761	pine	14.13
47	40.063921	32.758664	plane	16.11
48	40.030416	32.803484	apple	19.66
49	40.063827	32.673305	pine	7.24
50	39.847983	32.745987	pine	3.41
51	39.880195	32.782875	apple	13.26
52	40.089769	32.691398	apple	14.42
53	39.87999	32.846032	apple	8.33
54	39.886726	32.791603	pine	28.1
55	39.711281	32.623647	pine	19.13
56	40.006653	32.781537	pine	2.98
57	39.713297	32.918023	plane	9.87
58	39.829174	32.958793	pine	3.21
59	39.978955	32.689953	apple	9.34
60	39.89841	32.739796	apple	25.58
61	40.037297	32.908954	pine	8.69
62	39.860581	32.901582	apple	15.95
63	40.031241	32.645871	apple	25.74
64	39.732489	32.7617	apple	4.21
65	39.979139	32.954279	apple	21.82
66	39.967008	32.811391	pine	2.21
67	40.046371	32.609646	pine	7.66
68	39.922155	32.987258	plane	28.04
69	39.703682	32.759614	plane	7.55
70	40.064985	32.893063	plane	5.42
71	40.010954	32.662406	pine	22.84
72	39.782675	32.952822	plane	25.13
73	39.791147	32.939745	apple	20.25
74	40.063315	32.67499	apple	19.74
75	39.994012	32.766522	apple	3.83
76	39.783894	32.719159	plane	10.28
77	39.764263	32.847906	apple	12.53
78	39.711024	32.872209	pine	8.46
79	39.935409	32.959764	plane	14.37
80	39.86484	32.815948	apple	20.31
81	39.967323	32.781218	plane	11.75
82	40.016113	32.843585	apple	7.62
83	39.87231	32.789336	pine	6.9
84	39.767907	32.957609	apple	13.73
85	40.073364	32.94424	apple	6.79
86	39.870921	32.648709	apple	8.76
87	39.72996	32.649874	plane	9.66
88	39.949641	32.866348	plane	16.36
89	39.906032	32.853093	plane	26.82
90	39.825733	32.901866	pine	15.23
91	39.92262	32.702538	plane	6.0
92	40.073427	32.95886	plane	20.34
93	39.875295	32.872231	pine	25.27
94	40.0194	32.888552	plane	11.12
95	39.736003	32.882443	pine	18.83
96	39.859644	32.755103	plane	27.85
97	39.917965	32.63492	plane	2.82
98	39.954664	32.817095	pine	9.49
99	40.057444	32.684961	plane	6.81
100	40.087321	32.969491	apple	7.82
