id	latitude	longitude	tree_type	height(m)
1	39.795182	32.923679	apple	29.76
2	39.82932	32.723148	plane	2.03
3	39.925406	32.721173	apple	29.61
4	39.997455	32.935644	plane	15.79
5	39.794216	32.688503	apple	22.69
6	39.836733	32.790967	apple	29.77
7	39.848299	32.839877	apple	3.15
8	39.990871	32.761904	plane	14.97
9	39.81728	32.780846	apple	2.54
10	39.755593	32.921713	apple	26.41
11	39.931696	32.908347	apple	8.21
12	39.927014	32.657418	plane	4.56
13	39.961601	32.778591	pine	4.52
14	40.007574	32.792296	apple	11.17
15	39.812217	32.717141	apple	23.49
16	39.972856	32.82806	pine	18.7
17	40.098737	32.750902	apple	14.28
18	40.015881	32.86453	pine	20.43
19	39.955834	32.979598	apple	14.07
20	40.052695	32.749926	apple	16.04
21	39.789266	32.984214	apple	4.42
22	39.892105	32.900997	plane	24.17
23	39.726591	32.902811	plane	29.01
24	39.755531	32.877721	apple	14.57
25	39.988247	32.673288	pine	25.04
26	39.740178	32.96984	plane	13.2
27	39.740933	32.751188	pine	6.87
28	39.972206	32.745998	apple	3.09
29	39.869749	32.604133	pine	18.23
30	40.090698	32.857435	plane	12.02
31	39.744271	32.97396	pine	27.14
32	39.73451	32.8475	plane	19.86
33	39.764787	32.786881	apple	8.28
34	39.918319	32.890365	apple	9.7
35	39.95704	32.870826	plane	22.65
36	40.08849	32.973534	plane	28.99
37	40.094454	32.955459	apple	23.77
38	39.939755	32.6373	plane	9.12
39	40.040562	32.818302	pine	29.21
40	39.93149	32.867593	plane	11.83
41	39.820533	32.684283	plane	11.25
42	40.048494	32.906808	pine	2.74
43	39.958215	32.651868	plane	2.19
44	39.729866	32.916547	apple	14.57
45	39.876533	32.947007	pine	8.97
46	40.050793	32.658512	plane	15.63
47	39.89391	32.619844	pine	4.48
48	39.806517	32.795084	apple	22.09
49	39.965695	32.796716	apple	10.05
50	39.9557	32.679043	plane	3.37
51	40.041706	32.922374	pine	23.24
52	40.097864	32.734692	pine	21.07
53	40.067132	32.831162	plane	14.54
54	39.903824	32.736211	apple	14.77
55	39.763189	32.855606	pine	6.05
56	39.751817	32.997711	plane	11.32
57	40.096602	32.834867	apple	3.73
58	39.875759	32.884764	pine	19.63
59	39.926112	32.752867	plane	13.2
