id	latitude	longitude	tree_type	height(m)
1	38.936313	41.274587	castanea_sativa	5.81
2	40.811155	28.18677	picea_orientalis	6.27
3	41.266078	44.52785	abies_cilicica	16.27
4	37.889482	44.627203	ceratonia_siliqua	25.16
5	37.710729	43.905361	fagus_orientalis	26.99
6	38.810794	41.592969	pinus_sylvestris	3.28
7	39.503184	34.730848	ceratonia_siliqua	27.17
8	39.316632	35.100887	pinus_sylvestris	25.04
9	41.487995	40.153612	fagus_orientalis	8.33
10	40.092487	38.394087	quercus_cerris	24.47
11	38.237779	39.761415	ceratonia_siliqua	3.85
12	41.644656	39.329742	salix_alba	18.15
13	40.361553	28.689616	pinus_brutia	28.48
14	36.05003	29.433346	pistacia_lentiscus	27.89
15	41.750452	30.674424	juniperus_spp	18.69
16	38.277457	34.762723	juniperus_spp	4.6
17	36.468612	27.493359	pistacia_lentiscus	15.21
18	41.557904	37.257619	quercus_frainetto	26.21
19	40.428428	40.721553	fagus_orientalis	4.67
20	41.009457	35.465126	picea_orientalis	6.98
21	41.638032	36.911782	pinus_pinea	28.15
22	38.705667	36.232115	quercus_macrolepis	29.48
23	41.896931	27.602674	pinus_brutia	21.67
24	40.212495	40.16653	ceratonia_siliqua	4.83
25	40.071551	31.32995	pinus_brutia	16.05
26	39.810366	35.907439	olea_europaea	27.45
27	39.59999	34.659286	pistacia_lentiscus	10.92
28	36.509615	33.696015	populus_nigra	8.71
29	38.959673	33.200152	pinus_sylvestris	20.78
30	40.107729	35.872164	fagus_orientalis	8.1
31	36.387283	41.156621	picea_orientalis	11.54
32	37.929492	39.755233	olea_europaea	25.89
33	36.028048	42.030598	pistacia_lentiscus	25.61
34	38.889561	42.912162	ceratonia_siliqua	18.93
35	39.228589	39.71755	juniperus_spp	24.53
36	39.024959	28.808104	carpinus_betulus	15.58
37	37.193466	37.133519	pinus_pinea	9.96
38	38.96295	27.481067	juniperus_spp	10.26
39	39.169366	44.416162	populus_nigra	11.17
40	38.873858	44.681532	pinus_sylvestris	25.76
41	37.587772	44.703819	olea_europaea	19.79
42	39.025981	32.300745	pinus_brutia	24.47
43	38.892376	29.986838	pinus_sylvestris	12.69
44	39.6182	28.849417	castanea_sativa	4.28
45	41.977865	39.730331	populus_nigra	17.09
46	37.832704	32.900821	quercus_macrolepis	10.65
47	38.046234	37.791291	populus_nigra	9.62
48	36.530151	28.287579	cedrus_libani	20.79
49	39.544294	30.826627	ceratonia_siliqua	28.89
50	36.836054	44.196596	ceratonia_siliqua	23.46
51	41.269229	36.184002	populus_nigra	14.87
52	40.290863	42.610709	abies_cilicica	2.71
53	38.116291	35.690323	quercus_frainetto	19.62
54	38.345844	29.177582	olea_europaea	21.24
55	37.154996	32.032471	cedrus_libani	11.15
56	39.761188	39.501832	fraxinus_excelsior	19.43
57	39.66844	27.423141	fraxinus_excelsior	8.12
58	40.207313	30.372681	pinus_pinea	23.87
59	37.507209	40.710327	fagus_orientalis	26.35
60	38.014969	43.966889	pinus_pinea	19.16
61	38.905801	34.944446	quercus_frainetto	26.51
62	39.108345	34.559534	cedrus_libani	18.36
63	36.641589	33.058285	pinus_nigra	29.06
64	37.042263	44.083883	pinus_pinea	12.31
65	41.522733	44.410682	fagus_orientalis	7.73
66	41.498334	31.16485	populus_nigra	3.3
67	37.166444	44.158821	ceratonia_siliqua	13.48
68	37.415612	34.450191	pinus_nigra	10.8
69	38.555268	35.75183	abies_nordmanniana	2.2
70	37.278396	33.984959	pinus_pinea	15.0
71	40.355045	41.77397	pistacia_lentiscus	10.35
72	38.769017	36.075857	pinus_nigra	4.12
73	38.408874	31.723435	quercus_cerris	3.49
74	41.731383	42.152376	juniperus_spp	7.4
75	37.89265	41.232988	pinus_nigra	23.25
76	40.838309	44.266768	fraxinus_excelsior	26.13
77	41.532145	43.716065	salix_alba	26.21
78	41.062917	32.028899	cedrus_libani	13.91
79	39.756195	30.162051	pinus_pinea	19.35
80	37.674262	34.224543	pinus_pinea	27.04
81	41.824141	33.454223	juniperus_spp	6.53
82	36.001261	41.737755	carpinus_betulus	17.62
83	36.895284	30.591735	populus_nigra	5.58
84	36.988958	30.705501	fagus_orientalis	26.92
85	41.819875	28.450857	pinus_nigra	13.06
86	38.125459	30.402899	cedrus_libani	21.64
87	40.386426	31.307854	picea_orientalis	25.58
88	38.981724	43.814676	pinus_nigra	23.2
89	41.936186	29.618468	juniperus_spp	8.25
