id	latitude	longitude	tree_type	height(m)
1	40.122948	38.428925	apple	28.89
2	38.553844	43.228788	apple	7.86
3	38.955579	30.948859	plane	23.8
4	39.022596	41.406843	pine	21.18
5	38.248303	36.196473	pine	20.81
6	36.272821	35.355329	apple	7.68
7	38.091319	44.881145	apple	18.52
8	36.716834	44.65744	apple	10.56
9	36.423302	30.062279	apple	23.02
10	40.044099	33.008078	pine	6.48
11	38.827134	41.11034	pine	7.99
12	38.761172	32.900631	plane	9.76
13	36.057706	29.159477	apple	27.48
14	36.142396	43.265393	plane	24.41
15	40.417992	35.149248	apple	3.61
16	38.899569	44.917968	apple	20.28
17	37.320483	26.054296	apple	28.64
18	41.1258	41.216897	plane	10.41
19	39.110861	42.525691	plane	11.1
20	41.471604	35.451099	pine	16.13
21	41.243638	35.999425	apple	18.23
22	41.226641	42.972323	plane	4.83
23	40.02913	40.067799	apple	5.14
24	36.142219	28.571011	plane	23.61
25	40.208063	34.666721	pine	13.33
26	41.529311	43.234355	plane	27.32
27	40.888322	33.888887	pine	24.71
28	38.038273	42.8599	plane	29.55
29	36.080347	34.464951	pine	2.52
30	37.304264	31.490616	apple	7.81
31	39.282201	35.251014	apple	10.06
32	39.146604	36.719535	pine	15.66
33	40.459583	42.280385	pine	24.66
34	37.73518	34.664563	apple	27.37
35	40.018468	42.616906	apple	18.75
36	36.913934	37.177581	plane	12.96
37	40.958861	29.08972	apple	24.85
38	36.335955	28.896399	plane	21.19
39	36.968385	35.852838	apple	24.05
40	36.983592	40.067346	apple	6.39
41	40.950759	44.943372	pine	27.59
42	41.519345	42.05027	pine	18.35
43	41.501763	30.348953	apple	28.0
44	36.336042	39.920765	apple	23.34
45	37.411408	41.733714	plane	17.83
46	36.612521	26.49942	pine	11.33
47	41.450054	37.839552	apple	7.4
48	37.293575	27.489615	apple	23.56
49	39.82397	35.136951	pine	27.57
50	37.81414	40.9964	pine	25.92
51	41.645331	41.398843	pine	12.09
52	39.113013	31.424506	apple	20.69
53	39.325366	44.492172	pine	17.06
54	39.868926	43.057937	pine	12.85
55	36.428087	33.529746	pine	29.29
56	39.095069	35.513901	pine	8.63
57	41.827467	41.570973	plane	9.77
58	40.47142	39.96162	apple	29.64
59	39.452785	27.37182	apple	29.45
60	40.434455	32.85663	apple	9.25
61	37.057032	39.062161	apple	26.3
62	37.860067	41.298197	plane	12.24
63	39.30182	33.042887	pine	10.95
64	38.943865	27.434632	apple	6.59
65	40.564727	26.875838	apple	3.12
66	38.348611	31.956231	pine	28.25
67	38.744515	32.910138	plane	29.74
68	36.063842	29.516023	plane	9.94
69	37.945238	32.432633	pine	18.42
70	37.625035	29.880769	apple	26.25
71	41.516965	43.416276	apple	27.74
72	37.865148	32.985058	plane	29.85
73	36.814105	40.189524	pine	21.13
74	40.34068	42.358691	plane	7.25
75	39.22703	27.637745	pine	16.86
76	41.195705	34.445567	plane	4.15
77	40.499022	39.845834	apple	11.26
78	36.136896	30.929276	pine	18.38
79	36.923478	33.623397	apple	25.83
80	36.41433	34.310747	plane	29.98
81	40.424936	36.970807	plane	29.73
82	37.33073	36.330324	plane	18.07
83	38.473696	41.219294	apple	5.62
84	41.145763	28.297173	plane	21.85
85	41.320375	26.147007	pine	5.15
86	36.134022	32.581685	pine	7.04
87	36.937034	40.168816	apple	5.16
88	41.78386	44.462979	apple	9.35
89	40.046931	31.224066	plane	24.31
90	41.152268	37.892045	apple	27.45
91	41.803059	40.678765	pine	6.41
92	37.694809	39.703643	plane	17.96
93	36.215833	43.801223	plane	16.62
94	40.66009	31.511084	plane	10.18
95	36.678013	34.269888	plane	16.55
96	39.092851	30.590396	plane	9.88
97	38.742347	43.35953	plane	13.78
98	36.713491	44.19388	pine	16.27
99	40.627823	33.657252	pine	6.43
100	39.319596	38.0682	apple	26.89
101	39.269245	28.127163	pine	26.37
102	39.024907	27.194294	pine	19.18
103	39.196956	32.045184	pine	29.16
104	38.938543	31.926088	apple	6.56
105	39.36714	32.401053	plane	9.75
106	41.303622	29.51891	plane	28.62
107	38.264275	39.547682	plane	9.39
108	41.084544	39.679918	plane	5.76
109	39.532459	40.381103	plane	16.93
110	38.13464	34.06765	pine	17.3
